name,position,team,adp,bye_week,injury_status,id
Ashton Jeanty,RB,LV,10.5,8,healthy,12527
Nico Collins,WR,HOU,17.642857142857142,6,healthy,7569
Jonathan Taylor,RB,IND,27.3,11,healthy,6813
Omarion Hampton,RB,LAC,31.257142857142856,12,healthy,12507
Patrick Mahomes,QB,KC,37.84285714285714,10,healthy,4046
Colston Loveland,TE,CHI,86.60000000000001,5,healthy,12517
Jerry Jeudy,WR,CLE,82.12857142857142,9,healthy,6783
Keon Coleman,WR,BUF,121.21428571428571,7,healthy,11637
Caleb Williams,QB,CHI,79.12857142857142,5,healthy,11560
Travis Kelce,TE,KC,89.77142857142857,10,healthy,1466
Michael Pittman,WR,IND,129.2,11,healthy,6819
Commanders,DEF,WAS,192.25714285714284,12,healthy,WAS
Tyler Loop,K,BAL,218.33333333333334,7,healthy,12711
Dylan Sampson,RB,CLE,168.0142857142857,9,healthy,12469
